Signature,Token1,Token1_Change,Token2,Token2_Change,BlockTime
25mR8acpzZaUAazo2r1EtJXmRthwh3WVQ6XAr2iZNwCYioKB29WZvtB6kPjnr9r4pLp1ApYG4XbpdVAGvRT6HMaf,USDT,63.98505600000499,WSOL,0.4731944560001011,1740579580
Qsg4F97Vs15gUt1vgHocZJBoSkEXsBzzChiqqUJFt2ZmZCHzXKb1C7wqdaDhT1joSZDmPuqir55kHQ7U9wY1os9,USDT,0.0,WSOL,0.0,1740579743
3pt9JqdX9XfnukfG8ATT38ws5Qek4Z4rS4HjpuFuFa5BpXiBWtdmcMgmiQ8ZGYMqoTDXcv3BtQQ4YU8Bpe7oygiY,USDT,0.3500439999916125,WSOL,0.002595253999970737,1740579760
337NjkwwJidacAqe7J9HsxmHGRbeqzDE1HeQceeWpMHuxcdZrtvXX47zqtDu6RQbbbXzfsA3swmXQL2ERHgzbqcZ,USDT,11.916328999999678,WSOL,0.08821327800069412,1740579915
3TbvgSqET6jq9pxyTVQYohBa25fGMHJv7Afjjoe7tfs7xjcmwu2jhyjxiPugmZgDakynHNaun4PYGpEuMEwqis8A,USDT,62.40517399999953,WSOL,0.4624545179995039,1740579715
3mAUZmonb4Jqo4WehfWDRPXGGsfAztBSvfgdzdP8vXy7MUpCZ1Pz7TdrBrp3jonrHqeyrEaY5kUu3bBmYTsZNv5k,USDT,101.00498599999992,WSOL,0.746518230998845,1740579850
3G8Bh1rF21s9sfHG6AHVLd9y5f3tVFfFhmdJ57d5PNHZKeEYbaSMmMETvzkKgpR4NXMXyy2NznUPhEgHPGPJiNEn,USDT,162.53649399999995,WSOL,1.2036625780001486,1740579727
2T7kVWSFHfGubd7FH7ozkdKJ2sgKXighriQp66hmvKbqwPhfLV2L9YAHkBM1sr1uqXxDR6xCWRTZw5H4QojSLvWw,USDT,48.85680799999682,WSOL,0.36168628500001887,1740579917
5osDu14mm625yhQ2nhSJjFFzC5NChTcwxdd5eb1bco3Gf3P4XjUVnmiP89UwYxziqjDh7Hcv5kw8mddgn6ojTXfA,USDT,107.0128939999995,WSOL,0.7913610499999777,1740579547
3zE75bo9KGZeSDRqfbdX6URFF6QtMBMstA9xVe3f7KRbjsaTD2vojZwoub73dJz7P4sHYY1Y6ywoTHeDnkBgfxwq,USDT,256.9651610000001,WSOL,1.9030151620008837,1740579793
T2CySkxwdYuvytSMX7z7y2r2VotXSNjRYPdz55ito42fFUvtEeSaLyG2YZYuEFLVdWLzJBMNPDQxvZq7KoUZ8vN,USDT,114.98378900000534,WSOL,0.8500144320005347,1740579575
2MPAxyZfjgyfJ87DY84zXV8LkJrHoTaStApkbJ6csj1MKfoVzfkia6XgZyCdvXzH1jFDUcMCmDnmvbjPHF8s28Dt,USDT,233.1305740000098,WSOL,1.7238216669993562,1740579556
4BZX1RgWmGtFZ7jQpmc7ZiDAc1fmmnLuzcY5QCM7TZur2HBkUsPxHtPTMXPBDMoqsEtdbRHNi8LxA45MLNRmyz4U,USDT,42.92954499999905,WSOL,0.3182345539999005,1740579708
2iGwFyPReYxKxZWRKfFAjwwPDescEbNVtGy3g1Fobi9DSuvsGz3sSB34Z6SJcMy9J82LMpdpSEJ7XwrKkFFhyQNJ,USDT,25.5291819999984,WSOL,0.18899108600089676,1740579706
5gRsYZ2L8ig5DgSJLMif19BaKrttBsjhmiWCjPMvQAcX9rRcLqhi2YjEn24WBbjSNDoaoPcUFvHX7QYoShEoRoi9,USDT,205.13762800001132,WSOL,1.5207667209997453,1740579777
4tK1imHysMmy6am2fcrrragoo4kTQ5f1dfxpkF9MUkBBu4FWMadibgLbpKkqUQwo4f9LsfXPMn8FRLFToRLMss5j,USDT,159.38127600000007,WSOL,1.1818411880012718,1740579739
4eNC7UEwJ5rYbrAEqPqdBF94sUXuxxAHwMApj8gRQSS5uZSycrV6G2MaFjpv5QxM8ezA1SznizkrC2m3o1uSPcCX,USDT,0.0,WSOL,0.0,1740579743
2512H2NtL3b8TAGSu7K1cFT9Tb6zRjdynF1oyCHMxkqjKz8iwnYwsHq52kuqm47Vmz5QLfoPnrC1LWkMW6behxyG,USDT,2.1651050000000396,WSOL,0.015992976999996245,1740579578
4UHLv7Nt5Xx4kWnuYskQojrQpatZY6zktfSqHSWvUgsni8iBLvF3ZeXjZLggCKWdgtR26HCABfKe4uihVuRxnCv6,USDT,23.003507999994326,WSOL,0.17029104799985362,1740579915
TPUCVM479TMCXoQQNzpwNV3cg8BciCpUqBwY757WZ4N3jd4Jhj3cSHRUDzGNbDCxDiRjBQy3uGQqQcx73qLiEKB,USDT,100.0,WSOL,0.7411879930004943,1740579715
WdvGTUv3YkHdKwyhQ4GNWuSu1gNb82knKicY7Wa2f236xFrghXjKdj6e55XXPysKJGye9rRzoeLoi6tQ19rhbR8,USDT,30.0,WSOL,0.22176307500012626,1740579640
3nQLw3jaAuj2bLrNzX3sPPeUofytPKfDzKoTasc5XQ2YitGjqZGFv7Eu7dP4xVtbrcsn2P7fmzXXrPy7EHV79cC3,USDT,46.13457099999505,WSOL,0.3414407149999761,1740579911
54JM1b31y4nGR63keuBrwJGDiMKFpHEdM7vYyHbZNvyPTV1LZQymiewnV6Sxasu8giXZGtTUqsXcMpEyTrMSoXiD,USDT,81.13849599999958,WSOL,0.600066381999568,1740579547
ek5oswwzE4SfbVQduM2QGgYRJ9hhporFmzHfggbjMA6Whmnp9S6FdcXeYKLrzN1Sc6BfLP7zNiQjJg2zyMWACKm,USDT,1199.9940570000035,WSOL,8.878988323998783,1740579704
5DquhwggkuuozakPPM5qztjGuDH2Bcw9TTvckhAeVpD9AZFpyYef4KBULQGkW1VCCF6Hj4LBdP2Avws9vESgwtW5,USDT,9.862273000006098,WSOL,0.0730292959997314,1740579793
3ncWrXizJJApcUaz66iJrjXt19KNmd7g7ziJ915xXuUAMg8P4UiM5SMtnCWPWmP6cCe4o4HaZqfW9rz5Wo6VpfBq,USDT,0.0,WSOL,0.0,1740579556
2YQPZx4Fg4Fthqpmu3DabU5jpQWaMKgLSu5QB7Z2AFXu5tkAx5sVskNHDDhfdrtkLL7xyMCa6dYop6f8FaR5ykD9,USDT,205.58848500000022,WSOL,1.5200084999996761,1740579575
5FsoRHu4fK3ByicQeSaMCCW9GQazXuagNGdCePaz7Kd22nZCbSxrzGihHMWXV4uEnkEC54ydVmF7ERrdUA5Sx3i7,USDT,0.0,WSOL,0.0,1740579743
5Dm7SfLY1Rrwch17WmKVnPSfsb8dqLUwujiZwF5zHB8CtQAHYCLhdMqDXP4KJzaskitY3GEcb7XJSGhkiiZU79ej,USDT,163.58106899999257,WSOL,1.2111563970011048,1740579726
