Signature,Non-Stable Change,Stable Change,Price
5uTKRFjqEzPheXbLxKR3Xquqn63SPAaGdE2MpQxjQdKDJJg1jRhPpmXtK8kK7Zr4rfu6qtQ5czskr4dSW4F3nRoD,3.5210596460019588,488.3726309998892,138.70047090921037
5eVTPmTQaHDuDjNGBN7eA9znKX3mYH8hwHwHFPgmJaVhBaGVdE4c8g4zt2kVTXkq9oZR7dbvPSziSQzSKwNxH2BE,36.00270917400485,4994.445827000076,138.72416664149907
4cT6CzAtLkWeReTVyHFS2Nn1HMobm2cnoqTx1NLK4qYyapwE7wNjDZiYb5v1SjKeBuRrfaGzG4Nny2XQfNcXQ1Bj,20.477405326993903,2841.4045619999524,138.75803680334107
8BGr3jWLfVDLjF1x3fiNbo5oiFNkPcZohxaLpTwXjpZQUoaSMApRTyU8SUmhecuN8B5EfoPAUBRubhrjX1rkamV,14.869004920001316,2063.5091500000563,138.77923647898515
4GX2EZvgArmqEgCbZhftB8icANrAxHq7SaisthtPiX4Stsg43pxrnyh8L7pHBSmNEGig56yQKfRt3XCbNnwMFwiw,3.5992801940010395,499.54521199990995,138.79030947146254
5ozebs734N3WW4tPRn7aPgHk8aqbpUSRf6cdJxb48M3hroYaxV5Z4U6UFuAf7grm9dKXxUxGTsMQ2bjUzg32gnvG,3.5992801940010395,499.56074700015597,138.79462561230423
5x6y26VyAyCUGeq9nmtSmvNbJMEFLqFLtub4xVz4ic8ZgpsyipTmRmce8Wiwp56wEYXBAnDShWV3KgYeSQ4CrJPx,3.598648184997728,499.48855999996886,138.79894180327722
3Qeenk6erVU6fF2UZJaDBBo6B5H97PmkP7D8ypQgkeVpJqgBNEUCkDzHeraJKjsZnSKWUAnRuiqxhiC1E8CMxdgo,1.9131767959988792,265.55323800002225,138.80224689918194
5BnZDTCra99e4vdJaoRqxyNVVFkF7wsgz1PbwAsudZ96E6bmjeueDR13BrRSb7MXH7zRXzekDx4KcNvcs4653daD,3.21998651299873,446.81309800001327,138.76241288473665
2hLUev61ahqpdtURkxQphAMGeGkJ3AvqkJKPo3SbYSDTXnyYQfL3yzguyXZd67EEkbpuvuC6oQDXYsMYjTtWHcZs,1.1282728190017224,156.54663999995682,138.74892434124823
2eUKppY9PM85iZytnq2rEskeQpae2MDHnzsHxQjnkYfhQKJzLrR3SjecNYv4N2bE2G6ob21xSVZbCwSfkW7oNSgC,0.10814597900025547,15.004723999998532,138.7450937955177
4pAvygqGYRCNJ2ZjmLQMcpCVtKKr6uRd5hnPxi5w6gDiGBHdjDhti5zGqefeVmYNtnZ12yPuEUYqTNy2rtXDg2qo,0.06685752900011721,9.276118000037968,138.7445533624449
488Z64azK9b1L3gz7nZMBMuqxgRVZRbygHKqcH9d7AXuuCkTovmjUv7kWao9zmc2NfNxRkcUDNqd2qcder5CUa6P,0.40483176999987336,56.16760799998883,138.7430833306546
5ZdsGjiWDbkXcgmBdtMbb71QsVFesaLsd32dYwEN3hHPMtaXjvJD2rd3L5a8jw23AGaBu1G2TxkuJqjvEEY89mzS,0.06829429999925196,9.475261999992654,138.74162265513283
3YJ6aWmyJHhovDZSm6oG3FF93o1sL7gc68S6hBb2sdWdHf4ow1otZNebBjvzH1q59ydyBZS7QeHt5zi918Z9zuM5,0.17553568899893435,24.353973000019323,138.7408631196769
4aLFKQ73oFSitQCwwak6uwPpJafTcP8oESbQbopqeAmLHjWKdjnsJ6F75K2Wq6FLHyF6qvaULm8uYeF2Y3KHMN45,0.5754914479985018,79.82892300002277,138.71435149498623
5F533UgUQs1t3WSP7HqLQdUCn1AZkainCPKUTcjwVjBCBkBLAoQYvv2zjnyRX8AmpyvwnpSro8HZB5gPJarfeP7B,0.053384618997370126,7.406781000026967,138.74372692239024
BJn3kgNyBXZygEetUNjTdamirw1weU85n4V4odXd1jcZULsD64m5qKvvcyQrMbwjgs53gQjMAJYMh1AdB5gfg6A,0.6665811670027324,92.48246199998539,138.74148652568562
4NSWLYaaHRo3D2DVLis6epoZ1sSbHeMDjDE87qkB3RVuCdeDYNbBoa6zRZCSeDJYSSTngZuE7fepnPyTWQyFseq9,2.394104014001641,332.10794200003147,138.7190949339446
56zCBHdUxj6XqE3sMK5XCYbbUsp6zSuuyUkg4vpTr1HKGrQCdKQptoNQmTHeZz6jA2gMbYQVckrYByNdQYWcc6Us,0.15983625999797368,22.181319000024814,138.77526288656915
2gSj6UWswEWvcYGFr9zEWsWcvZCNowWwGDz7j2RV1KN11Xrp7hAwupgkRbMNRogUvWrXHzthueVaqwWGsvxvVtGc,0.3801189920013712,52.75047500000801,138.77358435123315
2JYcHoCLFrgENZbY3AvyBwG217rb2dSfiiAbhgmPm9cPRQPcpeARazn1Dc8rMhB252pkpWv4MXdnSR1ATJ8aDAvn,3.598536313002114,499.4968200000003,138.80555218943732,1740585645
furCz4joiyPuTjTZhNCTiMvD1GiwSq4A8dfj9JiUK17sJLCM4vCdxK51SFun9vtWzkSN1vMUUyZmhSNLZqR5pHd,3.598536313002114,499.512350999983,138.80986811086532,1740585645
62EggUECjuhbo8CGcoc7MZH93Ag81PkBMhNi4HVNsJoy7YBQtFTS8fbvNf65nx5upWVuSP2UkQ5JQvwMUswzL2aa,3.598536313002114,499.527883999981,138.8141845880791,1740585645
3Yi9X9Wm3RRr3tvhxBP5wfic846g2PNU5VayP1WAy2rXZCnXtHhVx75khnquDke4J5fLd4cY6mLn4aAhhTfveYdh,3.5985363129948382,499.5434139999561,138.8185002318949,1740585645
5o55Mafmd6ssEZPcZoqSHfJSewvyKaz22K5k4k7PkwFccYNn8hh9k4R6TosamxHyHyq7WozNSEy8Jomfpxd4m3uc,5.931589765001263,823.4482940000016,138.82421519752998,1740585645
4dbtJCGzgW3ZipC9RodG1siz8nA3gSmmQDXBm17mpkEVhaSFfHkYRU2fjiRcwTfYmCMkYkd2Z9F2RNBE2ubLoSFt,3.598424451003666,499.5690150000155,138.829930099179,1740585645
3q9SLxmVPe1Wy1FmzFpXzNtSa4wiqVdRf2u3GiaVX3JcAtHudj2V5RMseHJSVXSoL5f3SmF541nhc3ki3rmddXAc,3.598200745000213,499.5534870000556,138.83424589197733,1740585644
26ZkMd1vWCs1tXWYuvHMUbD28mfrpyhYqaNMixNi1f5Zvy6EZgAi9NymgwZZ2agQGWo78i7ip1BBBXybLGnoKZVT,3.597977051998896,499.5379589998629,138.8385617196583,1740585644
5P3H2UAQfC7rtBJWqhHgsm3GKHZfEkdWMP3iNuP8i1SmFtpFQxVyH3WR6ZFjLFrQHGe9ZDfjVGiwVekLbXuVkPip,3.597977051998896,499.5534880000632,138.8428777561354,1740585644
VQGTFRxQxMmegySmMYyx1GcpgVH3YPgYZLvdGNzqvUrSoXUkfzmVXGMN65HkgAzTVeUebnbvxufpbWR1jfXCy6k,3.597977051998896,499.5690170000307,138.84719379254784,1740585644
4hZr9htRcwBqEE3Rku4NDGWT8S6yG8yGuvEmKSpCMLdGwzQLTjhhAWnvL5BhkkzWuR2KoQHWM5jFEg96KY8j7bxP,3.5977534120029304,499.5534930001013,138.8515097598063,1740585644
3b1wqSM3TqXjxByDL5G2zJkqd7gj9jmMScaiWav2cdxVDgc5ZdB3gYZmhpck5rEkCrpZvJy56Rjk9XnPSTtRMDJ4,3.5973710719990777,499.51593100000173,138.85582582461203,1740585643
4dpkSQT8VLezx9FVn2iSsHQCWFcrWz48ZJ9PrTDz6zi4xdnvgPQwcbukznTVcFykSPae3FMwUNHGn4cv2Gjbo3Nr,3.5969048319966532,499.4667139998637,138.8601415185645,1740585643
5JZ2Y19raMrtESWwtoya1iHKKhYDFYeKjCrMyW9KkXnqYH2XxyBhEhAwskbefjPW52MWkJFFhcDeiQunRpRP8Hok,3.5973710719990777,499.54698200011626,138.86445740570082,1740585643
5ypH9ExetH9wJt8iFaCGUrANQmrRanA4bq1pX89VYo379iTXEvwYMvJACf8FZx4xSmjgAisN1CJ1ZQX8VBp4NuiL,8.702660941999056,1208.554509999929,138.87183679274955,1740585643
4SUqxRhGMgi29VYKkobNaFJb7gJE89teDkGfuGYmvEmCU6GsQ3zbRxNzkiSMaAo4V1H8hBoiaXRxdx9LJzQLtava,15.0,2083.2908830000088,138.88605886666724,1740585642
5SDQG42aWsvAU6rTnJYBWjqoP283UFyDZwQPLYd9vpqw5KweDyMUmfXai7bwhCkYUVopDsQDBWaBoPhot5Pw6pcM,16.444967104005627,2284.286997999996,138.904929608743,1740585642
5fjFoG6Z13tXZ8eLoXPWQvbVEoGqm7t3nujomAFETureQeaXmuu3LVwexcpq1svBvkFVhAvSFHxYbrzex5tqgBzz,10.769624139997177,1496.1298050000332,138.92126461902927,1740585641
32UQJfTMtZB4rW2T4aocwqbcog4sHSiAK5dAj1SY9micXt4xWdeSq8CS9o6pWgiJZNioHHDmXKDpmTiJue53Bqbc,19.59995865899691,2723.208357000025,138.93949494378137,1740585641
2wSsQ67b9CWm3eVP5UEZs55SvTb6KnqW8JJuAeyapxDqxy1tM856X2B1mFjX5nQNPSrtsrmq55KqWqKWgmvva6Aj,10.741000000001804,1492.5447019999847,138.95770431056084,1740585640
